,class,cap-shape,cap-surface,cap-color,bruises,odor,gill-attachment,gill-spacing,gill-size,gill-color,stalk-shape,stalk-root,stalk-surface-above-ring,stalk-surface-below-ring,stalk-color-above-ring,stalk-color-below-ring,veil-type,veil-color,ring-number,ring-type,spore-print-color,population,habitat
0,p,5,2,4,1,6,1,0,0,4,1,3,2,2,7,7,0,2,1,4,2,3,5
1,e,5,2,9,1,0,1,0,1,4,1,2,2,2,7,7,0,2,1,4,3,4,1
2,e,0,2,8,1,3,1,0,1,5,1,2,2,2,7,7,0,2,1,4,3,4,3
3,p,5,3,8,1,6,1,0,0,5,1,3,2,2,7,7,0,2,1,4,2,3,5
4,e,5,2,3,0,5,1,1,1,4,0,3,2,2,7,7,0,2,1,0,3,6,1
5,e,5,3,9,1,0,1,0,1,5,1,2,2,2,7,7,0,2,1,4,2,4,1
6,e,0,2,8,1,0,1,0,1,2,1,2,2,2,7,7,0,2,1,4,2,4,3
7,e,0,3,8,1,3,1,0,1,5,1,2,2,2,7,7,0,2,1,4,3,3,3
8,p,5,3,8,1,6,1,0,0,7,1,3,2,2,7,7,0,2,1,4,2,2,1
9,e,0,2,9,1,0,1,0,1,2,1,2,2,2,7,7,0,2,1,4,2,3,3
10,e,5,3,9,1,3,1,0,1,2,1,2,2,2,7,7,0,2,1,4,3,4,1
11,e,5,3,9,1,0,1,0,1,5,1,2,2,2,7,7,0,2,1,4,2,3,3
12,e,0,2,9,1,0,1,0,1,10,1,2,2,2,7,7,0,2,1,4,3,3,1
13,p,5,3,8,1,6,1,0,0,4,1,3,2,2,7,7,0,2,1,4,3,2,5
14,e,5,0,4,0,5,1,1,1,5,0,3,2,0,7,7,0,2,1,0,2,6,1
15,e,4,0,3,0,5,1,0,0,4,1,3,2,2,7,7,0,2,1,4,3,1,5
16,e,2,0,8,0,5,1,1,1,4,0,3,2,2,7,7,0,2,1,0,3,6,1
17,p,5,2,4,1,6,1,0,0,5,1,3,2,2,7,7,0,2,1,4,2,3,1
18,p,5,3,8,1,6,1,0,0,5,1,3,2,2,7,7,0,2,1,4,3,3,5
19,p,5,2,4,1,6,1,0,0,4,1,3,2,2,7,7,0,2,1,4,3,3,5
20,e,0,2,9,1,0,1,0,1,4,1,2,2,2,7,7,0,2,1,4,3,3,3
21,p,5,3,4,1,6,1,0,0,5,1,3,2,2,7,7,0,2,1,4,3,2,1
22,e,0,3,9,1,3,1,0,1,4,1,2,2,2,7,7,0,2,1,4,3,3,3
23,e,0,3,8,1,0,1,0,1,10,1,2,2,2,7,7,0,2,1,4,3,4,3
24,e,0,2,8,1,3,1,0,1,2,1,2,2,2,7,7,0,2,1,4,2,3,3
25,p,2,2,8,1,6,1,0,0,5,1,3,2,2,7,7,0,2,1,4,3,2,1
26,e,5,3,9,1,0,1,0,1,5,1,2,2,2,7,7,0,2,1,4,3,4,3
27,e,5,3,8,1,3,1,0,1,10,1,2,2,2,7,7,0,2,1,4,3,4,3
28,e,2,0,4,0,5,1,0,0,4,1,3,2,2,7,7,0,2,1,4,2,1,5
29,e,5,2,9,1,0,1,1,0,5,0,1,2,2,7,7,0,2,1,4,3,2,0
30,e,0,2,9,1,3,1,0,1,2,1,2,2,2,7,7,0,2,1,4,3,4,3
31,p,5,3,8,1,6,1,0,0,4,1,3,2,2,7,7,0,2,1,4,3,3,5
32,e,5,3,9,1,3,1,0,1,5,1,2,2,2,7,7,0,2,1,4,3,4,3
33,e,5,3,4,1,3,1,0,1,7,1,4,2,3,7,7,0,2,1,4,3,1,4
34,e,0,3,9,1,3,1,0,1,5,1,2,2,2,7,7,0,2,1,4,3,3,3
35,e,5,0,9,1,3,1,1,0,10,0,1,2,2,7,7,0,2,1,4,3,2,0
36,e,4,0,3,0,5,1,0,0,4,1,3,2,2,7,7,0,2,1,4,2,2,5
37,p,5,3,4,1,6,1,0,0,10,1,3,2,2,7,7,0,2,1,4,3,3,5
38,e,5,0,9,1,0,1,1,0,7,0,1,2,2,7,7,0,2,1,4,3,2,0
39,e,0,2,9,1,3,1,0,1,4,1,2,2,2,7,7,0,2,1,4,2,3,3
40,e,0,3,9,1,0,1,0,1,5,1,2,2,2,7,7,0,2,1,4,3,3,1
41,e,5,3,9,1,3,1,0,1,5,1,4,2,3,7,7,0,2,1,4,2,1,4
42,e,5,0,4,0,5,1,0,0,2,1,3,2,2,7,7,0,2,1,4,2,1,5
43,p,5,3,8,1,6,1,0,0,7,1,3,2,2,7,7,0,2,1,4,3,2,1
44,e,5,2,9,1,0,1,0,1,10,1,2,2,2,7,7,0,2,1,4,2,4,3
45,e,5,3,8,1,0,1,0,1,5,1,2,2,2,7,7,0,2,1,4,3,4,1
46,e,5,3,9,1,3,1,0,1,4,1,2,2,2,7,7,0,2,1,4,2,3,3
47,e,5,2,8,1,3,1,0,1,10,1,2,2,2,7,7,0,2,1,4,3,4,3
48,e,5,3,9,1,3,1,0,1,5,1,4,2,3,7,7,0,2,1,4,3,3,4
49,e,2,3,9,1,3,1,0,1,10,1,4,2,3,7,7,0,2,1,4,2,3,4
50,e,5,3,4,1,0,1,0,1,10,1,4,2,3,7,7,0,2,1,4,2,3,1
51,e,5,2,8,1,3,1,0,1,4,1,2,2,2,7,7,0,2,1,4,2,3,1
52,e,0,2,8,1,3,1,0,1,4,1,2,2,2,7,7,0,2,1,4,3,4,3
53,p,5,3,4,1,6,1,0,0,4,1,3,2,2,7,7,0,2,1,4,3,2,5
54,p,5,2,8,1,6,1,0,0,4,1,3,2,2,7,7,0,2,1,4,2,2,5
55,e,0,3,9,1,0,1,0,1,10,1,2,2,2,7,7,0,2,1,4,2,3,3
56,e,2,0,3,0,5,1,1,1,5,0,3,2,2,7,7,0,2,1,0,3,6,1
57,e,0,2,8,1,0,1,0,1,10,1,2,2,2,7,7,0,2,1,4,3,4,1
58,e,5,2,9,1,3,1,0,1,4,1,2,2,2,7,7,0,2,1,4,2,4,1
59,e,5,3,4,1,0,1,0,1,7,1,4,2,3,7,7,0,2,1,4,2,1,4
60,e,4,0,3,0,5,1,0,0,4,1,3,2,2,7,7,0,2,1,4,3,2,5
61,e,0,3,9,1,0,1,0,1,4,1,2,2,2,7,7,0,2,1,4,3,3,3
62,e,0,2,9,1,3,1,0,1,2,1,2,2,2,7,7,0,2,1,4,3,3,3
63,e,0,3,9,1,3,1,0,1,2,1,2,2,2,7,7,0,2,1,4,3,4,3
64,e,0,3,8,1,3,1,0,1,5,1,2,2,2,7,7,0,2,1,4,3,3,1
